id1,id2,lat,lon,el
233,BC_TSC_48359,55.067,-126.283,740
234,BC_TSC_48390,53.317,-122.5,700
235,BC_TSC_48412,51.559,-117.21,1200
236,BC_TSC_48420,51.615,-123.105,1300
237,BC_TSC_48428,55.5,-123.793,1320
238,BC_TSC_48481,49.584,-120.381,1000
239,BC_TSC_48504,50.85,-120.4,1120
240,BC_TSC_48541,56.217,-122.1,830
241,BC_TSC_52014,53.1,-122.767,810
242,BC_TSC_52110,52.85,-122.617,890
243,BC_TSC_52193,53.958,-124.608,750
244,BC_TSC_52211,50.95,-122.3,1000
245,BC_TSC_52218,56.083,-124.317,750
246,BC_TSC_52219,49.483,-119.317,1400
247,BC_TSC_53017,53.836,-126.552,898
248,BC_TSC_53078,53.274,-124.503,1200
249,BC_TSC_53087,54.896,-125.212,750
250,BC_TSC_53113,54.077,-127.249,835
251,BC_TSC_53131,50.017,-120.113,1450
252,BC_TSC_53158,49.662,-120.552,1450
253,BC_TSC_53173,53.207,-123.359,1200
254,BC_TSC_53234,55.02,-124.236,1000
255,BC_TSC_53247,49.108,-120.377,1950
256,BC_TSC_53264,53.353,-125.647,960
257,BC_TSC_53280,53.21,-124.398,1225
258,BC_TSC_53286,49.296,-114.908,1200
259,BC_TSC_53298,52.585,-125.54,1210
260,BC_TSC_53308,51.333,-122.55,1620
261,BC_TSC_53313,52.353,-122.956,1230
262,BC_TSC_53351,50.184,-119.673,1655
263,BC_TSC_53360,53.828,-123.121,713
264,BC_TSC_53402,53.597,-124.856,950
265,BC_TSC_53411,54.758,-124.121,850
266,BC_TSC_53426,49.501,-120.659,790
267,BC_TSC_53438,52.686,-122.262,1360
268,BC_TSC_53454,54.765,-126.88,880
269,BC_TSC_53470,54.794,-123.817,900
270,BC_TSC_53506,52.912,-119.302,1500
271,BC_TSC_53516,49.439,-114.789,1750
272,BC_TSC_53522,51.927,-123.438,1098
273,BC_TSC_53527,51.696,-120.066,930
274,BC_TSC_53557,49.723,-118.93,1800
275,BC_TSC_53581,49.883,-118.921,1725
276,BC_TSC_53633,56.052,-124.599,850
277,BC_TSC_53635,54.592,-123.171,778
278,BC_TSC_53639,50.302,-120.894,1435
279,BC_TSC_53666,50.356,-120.651,1590
280,BC_TSC_53684,56.064,-124.563,1310
281,BC_TSC_53693,51.796,-120.536,1242
